N I Block start End of block Size D AS Block name Organization Country
1 89.107.176.0 89.107.183.255 2048 AS: various ES-BBVA-20060512 ORG-BBVA1-RIPE ES
2 185.24.4.0 185.24.7.255 1024 AS: various ES-BBVA-20130416 ORG-BBVA1-RIPE ES
55 195.235.167.168 195.235.167.175 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
56 213.4.200.152 213.4.200.159 8 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA S.A. Internet Public Addresses FQS924002 ES, Madrid
57 213.99.46.0 213.99.46.7 8 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
58 213.229.142.88 213.229.142.95 8 AS8220 NET-ES-BBVA-SA BBVA, S.A. ES, Madrid
59 217.111.235.192 217.111.235.199 8 AS8220 NET-ES-BBVA-SA BBVA, S.A. ES, Madrid
60 62.97.123.128 62.97.123.135 8 AS8220 NET-ES-BBVA-DATA-ANALYTICS BBVA DATA & ANALYTICS ES, Madrid
61 195.55.45.24 195.55.45.31 8 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Gijon
62 62.97.126.160 62.97.126.167 8 AS8220 NET-ES-BBVA-DATA-AND-ANALYTICS BBVA DATA AND ANALYTICS ES, Madrid
63 195.57.90.232 195.57.90.239 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Benidorm
64 12.5.206.128 12.5.206.135 8 AS7018 BBVA-COM93-206-128 BBVA COMPASS STADIUM US, Middletown
65 195.77.253.240 195.77.253.247 8 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Palma
66 195.235.107.208 195.235.107.215 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
67 195.235.106.88 195.235.106.95 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
68 195.57.118.56 195.57.118.63 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Benidorm
69 195.53.111.0 195.53.111.7 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
70 37.58.124.160 37.58.124.167 8 AS36351 NETBLK-SOFTLAYER-RIPE-CUST-JTA21-RIPE IBM PoC - BBVA NL, Amsterdam
71 12.177.47.184 12.177.47.191 8 AS7018 BBVA646-47-184 BBVA US, Middletown
72 12.24.167.88 12.24.167.95 8 AS7018 BBVA634-167-88 BBVA US, Houston
73 212.170.216.56 212.170.216.63 8 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
74 212.170.217.192 212.170.217.199 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
75 212.170.218.80 212.170.218.87 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
76 212.170.221.40 212.170.221.47 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
77 67.20.176.80 67.20.176.87 8 AS7381 SUNGARD-436100ED-C555-46E8-90B BBVA Securities US, Scottsdale
78 99.66.60.232 99.66.60.239 8 AS7018 SBC-99-66-60-232-29-1002010520 BBVA COMPASS BANK-100201100442 US, Austin
79 213.0.111.152 213.0.111.159 8 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
80 80.169.77.80 80.169.77.87 8 AS8220 NET-ES-BBVA-SA BBVA, S.A. ES, Barcelona
81 195.55.67.24 195.55.67.31 8 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Gijon
82 195.235.152.192 195.235.152.199 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
83 194.224.79.56 194.224.79.63 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Irun
84 194.179.48.40 194.179.48.47 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Peniscola
85 217.111.235.184 217.111.235.191 8 AS8220 NET-ES-BBVA BBVA ES, Madrid
86 212.0.99.88 212.0.99.95 8 AS8220 NET-ES-BBVA BBVA ES, Madrid
87 195.77.82.200 195.77.82.207 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Palma
88 212.161.63.8 212.161.63.15 8 AS8220 NET-ES-BBVA-DATA-AND-ANALYTICS BBVA DATA AND ANALYTICS ES, Barcelona
89 195.235.224.80 195.235.224.87 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
90 195.77.192.160 195.77.192.167 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Palma
91 195.77.192.168 195.77.192.175 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Palma
92 195.77.192.224 195.77.192.231 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Palma
93 195.77.192.208 195.77.192.215 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Palma
94 195.77.192.216 195.77.192.223 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Palma
95 195.53.108.112 195.53.108.119 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
96 213.0.8.152 213.0.8.159 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
97 195.235.106.64 195.235.106.71 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
98 194.179.127.192 194.179.127.199 8 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
99 213.99.21.144 213.99.21.151 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
100 213.99.21.128 213.99.21.135 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid

101 213.99.21.136 213.99.21.143 8 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A Internet Public Addresses __ ES, Madrid
102 62.244.180.224 62.244.180.227 4 AS25180 BBVA-NETID220 Customer Allocation - Internet Service GB, London
103 78.5.1.212 78.5.1.215 4 AS8968 AANU BBVA FINANZIA S.P.A. IT, Rome
104 83.244.133.40 83.244.133.43 4 AS25180 BBVA Customer Allocation - Internet Service GB, London
105 83.244.192.184 83.244.192.187 4 AS25180 BBVA-NETID2787 Customer Allocation - Internet Service GB, London
106 194.98.14.20 194.98.14.23 4 AS702 UU-194-98-14-20-D6 BBVA SUCURSALE FRAN??AISE DU BBVA Paris, fr FR, Chateaubriant
107 195.112.163.120 195.112.163.123 4 unannounced SAP-BBVA-SR-ES BANCO BILBAO VIZCAYA ARGENTARIA, S.A. Monforte de Lemos, s/n 28029 Madrid DE, Fuerstenfeldbruck
